182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,2,56,4244608,4245373,6400,80,0,17,0,0,0,0,0
182.168.1.34,126.52.30.8,0.0.0.0,1452,1450,1,40,4244608,4244608,443,62040,20,6,0,0,0,0,0
126.52.30.8,182.168.1.34,0.0.0.0,1450,1452,1,44,4244608,4244608,62040,443,2,6,0,0,0,0,0
182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,7,280,4244608,4244634,6400,22,2,6,0,0,0,0,0
182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,1,28,4244280,4244280,0,0,0,1,0,0,0,0,0
182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,2,280,4244608,4246686,3584,80,2,6,0,0,0,0,0
126.52.30.8,182.168.1.34,0.0.0.0,1450,1452,1,40,4244608,4244608,62040,80,16,6,0,0,0,0,0
182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,2,56,4244280,4245967,40326,80,0,17,0,0,0,0,0
182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,1,40,4244280,4244280,0,3584,0,1,0,0,0,0,0
126.52.30.5,182.168.1.23,0.0.0.0,1450,1452,1,28,4244280,4244280,0,2048,0,1,0,0,0,0,0
126.52.30.5,182.168.1.23,0.0.0.0,1450,1452,1,40,4244280,4244280,40326,80,16,6,0,0,0,0,0
182.168.1.23,126.52.30.5,0.0.0.0,1452,1450,1,40,4244280,4244280,443,40326,20,6,0,0,0,0,0
126.52.30.5,182.168.1.23,0.0.0.0,1450,1452,1,44,4244280,4244280,40326,443,2,6,0,0,0,0,0